"","yr_q","citypair","enter","yr_q.1","citypair.1","pop","distance","totenter"
"134",19972,15,"9",19962,142,0.061296,1.751,1.38629436111989
"135",19972,159,"7",19962,106,0.35791,2.425,2.07944154167984
"136",19972,113,"4",19962,66,0.058813,0.853,1.6094379124341
"137",19972,129,"6",19962,147,0.19817,1.854,2.07944154167984
"138",19972,140,"7",19962,172,0.19494,2.378,2.07944154167984
"139",19972,149,"4",19962,103,0.95064,0.719,2.07944154167984
"140",19972,112,"1",19962,167,0.066078,0.129,1.79175946922805
"141",19972,151,"7",19962,168,0.13261,0.55,1.38629436111989
"142",19972,26,"9",19962,107,0.44207,2.401,2.19722457733622
"143",19972,168,"3",19962,73,0.6786,1.235,2.07944154167984
"144",19972,114,"4",19962,5,0.18454,0.594,2.07944154167984
"145",19972,2,"5",19962,117,0.11045,1.009,1.6094379124341
"146",19972,157,"8",19962,124,0.41591,1.536,2.07944154167984
"147",19972,60,"5",19962,132,0.10215,0.725,1.38629436111989
"148",19972,171,"8",19962,26,0.8428,2.611,2.19722457733622
"149",19972,141,"2",19962,94,0.14317,1.671,2.19722457733622
"150",19972,164,"7",19962,119,0.13541,1.874,1.79175946922805
"151",19972,97,"9",19962,121,0.10552,0.668,1.09861228866811
"152",19972,143,"4",19962,136,0.16774,2.148,2.07944154167984
"153",19972,11,"7",19962,17,0.11192,2.182,2.19722457733622
"154",19972,162,"7",19962,79,0.26571,1.302,2.07944154167984
"155",19972,161,"8",19962,128,0.4061,0.37,1.38629436111989
"156",19972,1,"8",19962,173,0.39122,2.521,2.07944154167984
"157",19972,165,"5",19962,127,0.91172,2.401,2.07944154167984
"158",19972,167,"7",19962,161,0.18305,1.721,2.07944154167984
"159",19972,142,"4",19962,179,0.086186,1.05,1.79175946922805
"160",19972,169,"8",19962,70,0.23923,0.987,2.07944154167984
"161",19972,37,"7",19962,164,0.12101,2.406,1.79175946922805
"162",19972,36,"9",19962,30,0.38752,0.867,2.07944154167984
"163",19972,81,"7",19962,156,0.069299,0.449,1.38629436111989
"164",19972,25,"5",19962,181,0.067161,1.558,2.07944154167984
"165",19972,69,"6",19962,54,0.099013,0.641,1.6094379124341
"166",19972,174,"7",19962,159,0.14931,1.44,1.94591014905531
"167",19972,105,"10",19962,38,0.15768,1.491,1.94591014905531
"168",19972,80,"6",19962,133,0.1718,1.02,1.94591014905531
"169",19972,177,"4",19962,75,0.072073,0.797,1.38629436111989
"170",19972,178,"8",19962,178,0.067664,1.262,2.07944154167984
"171",19972,31,"7",19962,84,0.11307,0.551,1.6094379124341
"172",19972,57,"6",19962,1,0.18947,0.946,2.07944154167984
"173",19972,181,"9",19962,43,1.0807,2.329,2.19722457733622
"174",19972,62,"6",19962,46,0.19303,0.936,1.94591014905531
"175",19972,22,"8",19962,175,0.0703,0.304,1.6094379124341
"176",19972,64,"8",19962,145,0.079949,1.728,2.07944154167984
"177",19972,163,"3",19962,83,0.29119,1.464,2.07944154167984
"178",19972,86,"5",19962,4,0.15255,0.732,2.07944154167984
"179",19972,20,"7",19962,108,0.88716,2.565,2.19722457733622
"180",19972,78,"8",19962,8,0.52345,1.946,2.19722457733622
"181",19972,47,"6",19962,41,0.66043,0.169,0.693147180559945
"182",19972,54,"7",19962,98,0.13677,0.44,1.94591014905531
"183",19972,28,"3",19962,2,0.24294,0.576,1.6094379124341
"184",19972,117,"6",19962,85,0.50167,0.487,1.79175946922805
